CustomerId,CustomerName,Location,,QtyQ1,QtyQ2,QtyQ3,QtyQ4,VariableOrders,NotesQ1,NotesQ2,NotesQ3,NotesQ4,CustomBP,DmQty,DmQtyQ1,DmQtyQ2,DmQtyQ3,DmQtyQ4,UpsQty,UpsQtyQ1,UpsQtyQ2,UpsQtyQ3,UpsQtyQ4,PostalQty,PostalQtyQ1,PostalQtyQ2,PostalQtyQ3,PostalQtyQ4,LtlQty,LtlQtyQ1,LtlQtyQ2,LtlQtyQ3,LtlQtyQ4,IntlQty,IntlQtyQ1,IntlQtyQ2,IntlQtyQ3,IntlQtyQ4,YearlyBillingQuarter
2014,BRUSHY RUN MENNONITE CHURCH,"ONEGO, WV",DM,320,320,320,320,FALSE,,,,,TRUE,320,,,,,,,,,,,,,,,,,,,,,,,,,
2016,CALVARY BIBLE FELLOWSHIP CHURCH,"SOMERSET, OH",UPS,380,380,380,380,FALSE,,,,,TRUE,,,,,,380,,,,,,,,,,,,,,,,,,,,
2018,CALVARY FELLOWSHIP MENNONITE CHURCH,"BLACKVILLE, SC",UPS,475,475,475,475,FALSE,,,,,TRUE,,,,,,475,,,,,,,,,,,,,,,,,,,,
2281,CALVARY MENNONITE CHURCH,"BOYCEVILL, WI",DM,1296,1296,1296,1296,FALSE,,,,,TRUE,1296,,,,,,,,,,,,,,,,,,,,,,,,,
2707,CEDAR FORK MENNONITE CHURCH,"BEULAVILLE, NC",DM,3908,3908,3908,3908,FALSE,,,,,TRUE,3908,,,,,,,,,,,,,,,,,,,,,,,,,
2022,CEDAR GROVE A. M. CHURCH,"WELLESLEY, ON",INTL,105,105,105,105,FALSE,Low Bulk,Low Bulk,Low Bulk,Low Bulk,TRUE,,,,,,,,,,,,,,,,,,,,,105,,,,,
2023,CEDAR SPRINGS AMISH MENNONITE CHURCH,"CLARKSON, KY",LTL,7900,7900,7900,7900,FALSE,Band in 50s,Band in 50s,Band in 50s,Band in 50s,TRUE,,,,,,,,,,,,,,,,7900,,,,,,,,,,
2510,CRAIG MENNONITE CHURCH,"CRAIG, CO",,35,35,35,4710,TRUE,,,,"When shipping 4710 print custom back page and send UPS to 84462 West Hwy 40, Craig, CO 81625 and print poscard!!!",FALSE,,,,,,,,,,4710,,35,35,35,,,,,,,,,,,,
2743,CROWLEY'S RIDGE MENNONITE CHURCH* Q2,"ADVANCE, MO",USPS,100,100,100,100,FALSE,Low Bulk,,,,TRUE,,,,,,,,,,,100,,,,,,,,,,,,,,,
2762,CUBA CHRISTIAN BROTHERHOOD,"CUBA, MO",UPS,2000,2000,2000,2000,FALSE,,,,,TRUE,,,,,,2000,,,,,,,,,,,,,,,,,,,,
2265,CUBA MENNONITE CHURCH,"HARLAN, IN",USPS,120,120,120,120,FALSE,Low Bulk,Low Bulk,Low Bulk,Low Bulk,TRUE,,,,,,,,,,,120,,,,,,,,,,,,,,,
2721,DANIEL ALLGYER,"BENTON, IL",USPS,11,11,11,11,FALSE,Low Bulk,Low Bulk,Low Bulk,Low Bulk,FALSE,,,,,,,,,,,11,,,,,,,,,,,,,,,
2667,DARBUN MENNONITE CHURCH* Q1,"KOKOMO, MS",USPS,11,11,11,11,FALSE,Low Bulk,,,,TRUE,,,,,,,,,,,11,,,,,,,,,,,,,,,
2747,DAYSPRING CHRISTIAN FELLOWSHIP,"TAYLORSVILLE, NC",UPS,750,750,750,750,FALSE,,,,,TRUE,,,,,,750,,,,,,,,,,,,,,,,,,,,
2021,DIAMOND VIEW MENNONITE CHURCH,"STANDISH, CA",DM,2266,2266,2266,2266,FALSE,,,,,TRUE,2266,,,,,,,,,,,,,,,,,,,,,,,,,
2780,DISCIPLES OF CHRIST BROTHERHOOD,"ANSON, TX",USPS,40,40,40,40,TRUE,VARIABLE QTY - Check with Customer each quarter,VARIABLE QTY - Check with Customer each quarter,VARIABLE QTY - Check with Customer each quarter,VARIABLE QTY - Check with Customer each quarter,TRUE,,,,,,,,,,,,40,40,40,40,,,,,,,,,,,
2029,DUBLIN MENNONITE CHURCH,"DUBLIN, GA",USPS,200,200,200,200,FALSE,Low Bulk,Low Bulk,Low Bulk,Low Bulk,TRUE,,,,,,,,,,,200,,,,,,,,,,,,,,,
2776,DUNKARD BRETHREN - HART MI,"HART, MI",DM + USPS,5236,5236,5236,5236,FALSE,Set 25 aside for customer,Set 25 aside for customer,Set 25 aside for customer,Set 25 aside for customer,TRUE,5211,,,,,,,,,,25,,,,,,,,,,,,,,,
2755,EBENEZER AMISH MENNONITE CHURCH,"OSKALOOSA, KS",UPS,1230,1230,1230,1230,FALSE,,,,,TRUE,,,,,,1230,,,,,,,,,,,,,,,,,,,,
2201,ELM STREET MENNONITE CHURCH,"LEBANON, PA",DM,3360,3360,3360,3360,FALSE,,,,,TRUE,3360,,,,,,,,,,,,,,,,,,,,,,,,,
2725,EMMANUEL MENNONITE CHURCH,"HARTSELLE, AL",DM + UPS,2024,2024,2024,2024,FALSE,Set 300 aside for customer,Set 300 aside for customer,Set 300 aside for customer,Set 300 aside for customer,TRUE,1724,,,,,300,,,,,,,,,,,,,,,,,,,,
2284,FAIRFIELD MENNONITE CHURCH* Q2,"FAIRFIELD, MT",USPS,55,55,55,55,FALSE,Low Bulk,,,,TRUE,,,,,,,,,,,55,,,,,,,,,,,,,,,
2401,FAIRHAVEN AMISH MENNONITE CHURCH,"MILVERTON, ON",INTL,45,45,45,45,FALSE,Low Bulk,Low Bulk,Low Bulk,Low Bulk,TRUE,,,,,,,,,,,,,,,,,,,,,45,,,,,
2335,FAIRHAVEN MENNONITE CHURCH* Q3,"MYERSTOWN, PA",USPS,50,50,50,50,FALSE,Low Bulk,,,,TRUE,,,,,,,,,,,50,,,,,,,,,,,,,,,
2032,FAIRVIEW MENNONITE FELLOWSHIP,"FAIRVIEW, MO",DM + USPS,2464,2464,2464,2464,FALSE,Set 18 aside for customer,Set 18 aside for customer,Set 18 aside for customer,Set 18 aside for customer,TRUE,2446,,,,,,,,,,18,,,,,,,,,,,,,,,
2034,FAITH MENNONITE FELLOWSHIP,"LOTT, TX",DM,1169,1169,1169,1169,FALSE,,,,,TRUE,1169,,,,,,,,,,,,,,,,,,,,,,,,,
2492,FAITH MENNONITE FELLOWSHIP-CUSTOM,"STEVENS, PA",UPS + USPS,3345,3345,3345,3345,FALSE,Set 100 aside for customer,,,,TRUE,,,,,,3245,,,,,100,,,,,,,,,,,,,,,
2241,FARMINGTON MENNONITE CHURCH,"FARMINGTON, NM",UPS,2000,2000,2000,2000,FALSE,,,,,TRUE,,,,,,2000,,,,,,,,,,,,,,,,,,,,
2744,FARMINGTON MENNONITE CHURCH,"FARMINGTON, MO",DM + USPS,3256,3256,3256,3256,FALSE,Set 50 aside for customer,Set 50 aside for customer,Set 50 aside for customer,Set 50 aside for customer,TRUE,3206,,,,,,,,,,50,,,,,,,,,,,,,,,
2759,FARMINGTON MENNONITE CHURCH - FOR PRISON,"FARMINGTON, MO",USPS,100,100,100,100,FALSE,"Low Bulk - Do not staple 70; Mail 2 packages to 
Farmington Correctional Center
1012 W. Columbia Street
Farmington, MO 63640
Package 1: Notate for side A. Include 70 NO staples and 15 stapled banded separately
Package 2: Notate for side B. Include 15 stapled.","Low Bulk - Do not staple 70; Mail 2 packages to 
Farmington Correctional Center
1012 W. Columbia Street
Farmington, MO 63640
Package 1: Notate for side A. Include 70 NO staples and 15 stapled banded separately
Package 2: Notate for side B. Include 15 stapled.","Low Bulk - Do not staple 70; Mail 2 packages to 
Farmington Correctional Center
1012 W. Columbia Street
Farmington, MO 63640
Package 1: Notate for side A. Include 70 NO staples and 15 stapled banded separately
Package 2: Notate for side B. Include 15 stapled.","Low Bulk - Do not staple 70; Mail 2 packages to 
Farmington Correctional Center
1012 W. Columbia Street
Farmington, MO 63640
Package 1: Notate for side A. Include 70 NO staples and 15 stapled banded separately
Package 2: Notate for side B. Include 15 stapled.",TRUE,,,,,,,,,,,100,,,,,,,,,,,,,,,
2763,FINCASTLE MENNONITE CHURCH* Q2,"BUCHANAN, VA",USPS,150,150,150,150,FALSE,Low Bulk,Low Bulk,Low Bulk,Low Bulk,TRUE,,,,,,,,,,,150,,,,,,,,,,,,,,,
2642,FOLLOWERS OF CHRIST FELLOWSHIP,"RED BLUFF, CA",UPS,1412,1412,1412,1412,FALSE,,,,,TRUE,,,,,,1412,,,,,,,,,,,,,,,,,,,,
2405,FRANKLIN MENNONITE CHURCH,"FRANKLIN, KY",UPS,2500,2500,2500,2500,FALSE,,,,,TRUE,,,,,,2500,,,,,,,,,,,,,,,,,,,,
2726,FREDONIA MENNONITE CHURCH,"FREDONIA, KY",DM + USPS,831,831,831,831,FALSE,Set 22 aside for customer,Set 22 aside for customer,Set 22 aside for customer,Set 22 aside for customer,TRUE,809,,,,,,,,,,22,,,,,,,,,,,,,,,
2178,FRESH START CHAPEL,"WASHINGTON, IN",UPS,0,0,0,3000,TRUE,ONLY PRINT ON Q4,ONLY PRINT ON Q4,ONLY PRINT ON Q4,ONLY PRINT ON Q4,TRUE,,,,,,,,,,3000,,,,,,,,,,,,,,,,
2316,GAP MILLS CHRISTIAN FELLOWSHIP,"GAP MILLS, WV",UPS,600,600,600,600,FALSE,,,,,TRUE,,,,,,600,,,,,,,,,,,,,,,,,,,,
2276,GARBERS MENNONITE CHURCH,"SPRING GROVE, PA",UPS,500,500,500,500,FALSE,,,,,TRUE,,,,,,500,,,,,,,,,,,,,,,,,,,,
2708,GLEASON MENNONITE CHURCH* Q2,"GLEASON, WI",USPS,35,35,35,35,FALSE,Low Bulk,,,,TRUE,,,,,,,,,,,35,,,,,,,,,,,,,,,
2301,GOLDEN HILLS MENNONITE CHURCH,"SAN ANDRES, CA",USPS,200,200,200,200,FALSE,Low Bulk,Low Bulk,Low Bulk,Low Bulk,TRUE,,,,,,,,,,,200,,,,,,,,,,,,,,,
2773,GOSPEL LIGHT MENNONITE FELLOWSHIP,"PAINT LICK, KY",DM,1173,7370,1173,1173,TRUE,VARIABLE QTY: Q1: 1173; Q2: 7370; Q3: 1173; Q4: 1173,VARIABLE QTY: Q1: 1173; Q2: 7370; Q3: 1173; Q4: 1174,VARIABLE QTY: Q1: 1173; Q2: 7370; Q3: 1173; Q4: 1175,VARIABLE QTY: Q1: 1173; Q2: 7370; Q3: 1173; Q4: 1176,TRUE,,1173,7370,1173,1173,,,,,,,,,,,,,,,,,,,,,
2563,GRACE MENNONITE FELLOWSHIP,"BASTROP, TX",USPS,50,50,50,50,FALSE,Low Bulk,,,,TRUE,,,,,,,,,,,50,,,,,,,,,,,,,,,
2454,GRAND VALLEY MENNONITE CHURCH,"FRUITA, CO",UPS + USPS,6150,6150,6150,6150,FALSE,EMAIL TRACKING WHEN SHIPPING TO jcging19@gmail.com! Set 150 aside for customer,,,,TRUE,,,,,,6000,,,,,150,,,,,,,,,,,,,,,
2038,GRANDE RONDE MENNONITE CHURCH,"COVE, OR",DM + USPS,1323,1323,1323,1323,FALSE,Set 30 aside for customer,Set 30 aside for customer,Set 30 aside for customer,Set 30 aside for customer,TRUE,1293,,,,,,,,,,30,,,,,,,,,,,,,,,
2243,GRANDIN MENNONITE CHURCH* Q2,"DONIPHAN, MO",USPS,40,40,40,40,FALSE,Low Bulk,,,,TRUE,,,,,,,,,,,40,,,,,,,,,,,,,,,
2039,GRANDVIEW GOSPEL FELLOWSHIP,"GRANDVIEW, TX",UPS,1700,1700,1700,1700,FALSE,,,,,TRUE,,,,,,1700,,,,,,,,,,,,,,,,,,,,
2326,GREENE COUNTY MENNONITE CHURCH,"CHUCKEY, TN",UPS,2500,2500,2500,2500,FALSE,,,,,TRUE,,,,,,2500,,,,,,,,,,,,,,,,,,,,
2042,HARRISBURG MENNONITE CHURCH,"HARRISBURG, OR",UPS,2285,2285,2285,2285,FALSE,,,,,TRUE,,,,,,2285,,,,,,,,,,,,,,,,,,,,
2734,HAW CREEK MENNONITE CHURCH,"Hope, IN",UPS,2519,2519,2519,2519,FALSE,Box like regular for UPS but also include facing slips,Box like regular for UPS but also include facing slips,Box like regular for UPS but also include facing slips,Box like regular for UPS but also include facing slips,TRUE,,,,,,2519,,,,,,,,,,,,,,,,,,,,
2637,HEGINS VALLEY MENNONITE CHURCH,"HEGINS, PA",USPS,125,125,125,125,FALSE,Low Bulk,Low Bulk,Low Bulk,Low Bulk,TRUE,,,,,,,,,,,125,,,,,,,,,,,,,,,
2043,HEPHZIBAH MENNONITE CHURCH,"HEPHZIBAH, GA",DM + USPS,2972,2972,2972,2972,FALSE,Set 30 aside for customer,Set 30 aside for customer,Set 30 aside for customer,Set 30 aside for customer,TRUE,2942,,,,,,,,,,30,,,,,,,,,,,,,,,
2294,HIDDEN RIVER MENNONITE CHURCH* Q1,"FREDRICKSBURG, PA",USPS,10,10,10,10,FALSE,Low Bulk,Low Bulk,Low Bulk,Low Bulk,FALSE,,,,,,,,,,,10,,,,,,,,,,,,,,,
2321,HILLSDALE MENNONITE FELLOWSHIP,"HILLSDALE, PA",DM + USPS,6029,6029,6029,6029,FALSE,Set 20 aside for customer,Set 20 aside for customer,Set 20 aside for customer,Set 20 aside for customer,TRUE,6009,,,,,,,,,,20,,,,,,,,,,,,,,,
2623,HOPE MENNONITE CHURCH,"PANTEGO, NC",DM,2889,2889,2889,2889,FALSE,,,,,TRUE,2889,,,,,,,,,,,,,,,,,,,,,,,,,
2248,HOPE VALLEY MENNONITE CHURCH* Q2,"FLAT GAP, KY",USPS,50,50,50,50,FALSE,Low Bulk,,,,TRUE,,,,,,,,,,,50,,,,,,,,,,,,,,,
2249,HORNDEAN MENNONITE CHURCH,"HORNDEAN, MB",INTL,665,665,665,665,FALSE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,665,,,,,
2696,HUDSON VALLEY MENNONITE CHURCH* Q2,"HUDSON, NY",USPS,50,50,50,50,FALSE,Low Bulk,,,,TRUE,,,,,,,,,,,50,,,,,,,,,,,,,,,
2427,HURON VALLEY MENNONITE CHURCH,"WILLARD, OH",DM,6518,6518,6518,6518,FALSE,Set 75 aside for customer,Set 75 aside for customer,Set 75 aside for customer,Set 75 aside for customer,TRUE,,6443,6443,6443,6443,,,,,,,75,75,75,,,,,,,,,,,,
2654,JOHN DAY VALLEY MENNONITE CHURCH* Q2,"JOHN DAY, OR",USPS,20,20,20,20,FALSE,Low Bulk,Low Bulk,Low Bulk,Low Bulk,FALSE,,,,,,,,,,,20,,,,,,,,,,,,,,,
2412,KEMPSVILLE MENNONITE CHURCH* Q2,"VIRGINIA BEACH, VA",USPS,50,50,50,50,FALSE,Low Bulk,,,,TRUE,,,,,,,,,,,50,,,,,,,,,,,,,,,
2141,KIRKWOOD MENNONITE CHURCH,"KIRKWOOD, PA",DM + USPS,1061,1061,1061,1061,FALSE,Set 25 aside for customer,Set 25 aside for customer,Set 25 aside for customer,Set 25 aside for customer,TRUE,1036,,,,,,,,,,25,,,,,,,,,,,,,,,
2774,LAKE VIEW MENNONITE CHURCH,"NORTH EAST, PA",DM,5400,5400,5400,5400,TRUE,Set 30 aside for customer,Set 30 aside for customer,Set 30 aside for customer,Set 30 aside for customer,TRUE,,5400,5400,5400,5400,,,,,,,,,,,,,,,,,,,,,
2291,LAKEVIEW CONSERVATIVE MENNONITE CHURCH,"KIPPEN, ON",UPS,6000,6000,6000,6000,FALSE,Attach invoice to box,Attach invoice to box,Attach invoice to box,Attach invoice to box,TRUE,,,,,,6000,,,,,,,,,,,,,,,,,,,,
2587,LAMAR MISHLER* Q2,"MIDDLEBURY, IN",USPS,80,80,80,80,FALSE,Low Bulk,Low Bulk,Low Bulk,Low Bulk,FALSE,,,,,,,,,,,80,,,,,,,,,,,,,,,
2046,LAMONTE MENNONITE CHURCH,"LAMONTE, MO",UPS,2000,2000,2000,2000,FALSE,,,,,TRUE,,,,,,2000,,,,,,,,,,,,,,,,,,,,
2308,LARRY R. WEBER* Q2,"KEEDYSVILLE, MD",USPS,11,11,11,11,FALSE,Low Bulk,Low Bulk,Low Bulk,Low Bulk,FALSE,,,,,,,,,,,11,,,,,,,,,,,,,,,
2789,LEBANON CHRISTIAN BROTHERHOOD,"LEBANON, MO",DM + USPS,1178,1178,1178,1178,FALSE,Set 20 aside for customer,Set 20 aside for customer,Set 20 aside for customer,Set 20 aside for customer,TRUE,1158,,,,,,,,,,20,,,,,,,,,,,,,,,
2616,LIBERIA MENNONITE CHURCH (FAITH MENNONITE MISSIONS,"FOR LIBERIA,",UPS,700,700,700,700,FALSE,,,,,TRUE,,,,,,700,,,,,,,,,,,,,,,,,,,,
2735,LIBERTY MENNONITE CHURCH,"LIBERTY, PA",DM + USPS,871,871,871,871,FALSE,Set 10 aside for customer,Set 10 aside for customer,Set 10 aside for customer,Set 10 aside for customer,TRUE,861,,,,,,,,,,10,,,,,,,,,,,,,,,
2049,LIGHTHOUSE MENNONITE CHURCH,"MONTICELLO, GA",USPS,20,20,20,20,FALSE,Low Bulk,,,,TRUE,,,,,,,,,,,20,,,,,,,,,,,,,,,
2760,LINCOLN MENNONITE CHURCH* Q2,"EPHRATA, PA",USPS,45,45,45,45,FALSE,Low Bulk,Low Bulk,Low Bulk,Low Bulk,FALSE,,,,,,,,,,,45,,,,,,,,,,,,,,,
2305,LITTLE CREEK MENNONITE CHURCH,"FRANKFORT, OH",DM,2321,2321,2321,2321,FALSE,,,,,TRUE,2321,,,,,,,,,,,,,,,,,,,,,,,,,
2588,LIVING WATER MENNONITE FELLOWSHIP* Q2,"STEVENS, PA",USPS,35,35,35,35,FALSE,Low Bulk,Low Bulk,Low Bulk,Low Bulk,FALSE,,,,,,,,,,,35,,,,,,,,,,,,,,,
2745,LIVING WATERS MENNONITE CHURCH,"LEXINGTON, IN",UPS,3000,3000,3000,3000,FALSE,,,,,TRUE,,,,,,3000,,,,,,,,,,,,,,,,,,,,
2050,LOCUST CREEK MENNONITE CHURCH,"LACLEDE, MO",UPS,877,877,877,877,FALSE,BAND IN 50's,BAND IN 50's,BAND IN 50's,BAND IN 50's,TRUE,,,,,,877,,,,,,,,,,,,,,,,,,,,
2226,LONG CREEK MENNONITE CHURCH,"LONG CREEK, OR",DM,618,618,618,618,FALSE,,,,,TRUE,618,,,,,,,,,,,,,,,,,,,,,,,,,
2757,LYNDON AMISH MENNONITE CHURCH MISSION,"LYNDON, KS",DM,1891,1891,1891,1891,FALSE,,,,,TRUE,1891,,,,,,,,,,,,,,,,,,,,,,,,,
2051,MADISON MENNONITE CHURCH,"MADISON, NY",DM + USPS ,1125,1125,1125,1125,FALSE,Set 130 aside for customer,Set 130 aside for customer,Set 130 aside for customer,Set 130 aside for customer,TRUE,995,,,,,,,,,,130,,,,,,,,,,,,,,,
2470,MAGNOLIA MENNONITE CHURCH,"MACON, MS",UPS,2000,2000,2000,2000,FALSE,,,,,TRUE,,,,,,2000,,,,,,,,,,,,,,,,,,,,
2052,MARANATHA MENNONITE CHURCH,"TAYLORSVILLE, MS",DM + USPS,1260,1260,1260,1260,FALSE,Set 16 aside for customer,Set 16 aside for customer,Set 16 aside for customer,Set 16 aside for customer,TRUE,1244,,,,,,,,,,16,,,,,,,,,,,,,,,
2660,MARANATHA MENNONITE CHURCH* Q1,"TAYLORSVILLE, MS",USPS,12,12,12,12,FALSE,Low Bulk,Low Bulk,Low Bulk,Low Bulk,FALSE,,,,,,,,,,,12,,,,,,,,,,,,,,,
2756,MARANATHA MENNONITE FELLOWSHIP,"BANGOR, CA",UPS,625,625,625,625,FALSE,,,,,TRUE,,,,,,625,,,,,,,,,,,,,,,,,,,,
2785,MARROWBONE CHRISTIAN BROTHERHOOD,"BURKESVILLE, KY",USPS,200,200,200,200,FALSE,Low Bulk,Low Bulk,Low Bulk,Low Bulk,TRUE,,,,,,,,,,,200,,,,,,,,,,,,,,,
2561,MAYSVILLE CHRISTIAN FELLOWSHIP,"WEATHERBY, MO",UPS,3150,3150,3150,3150,FALSE,,,,,TRUE,,,,,,3150,,,,,,,,,,,,,,,,,,,,
2251,MCBRIDE MENNONITE CHURCH,"MCBRIDE, BC",INTL,250,250,250,250,FALSE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,250,,,,,
2657,MCDOWELL MENNONITE CHURCH,"MCDOWELL, VA",UPS,1400,1400,1400,1400,FALSE,,,,,TRUE,,,,,,1400,,,,,,,,,,,,,,,,,,,,
2786,MCKENNEY MENNONITE CHURCH* Q1,"RAWLINGS, VA",USPS,50,50,50,50,FALSE,Low Bulk,Low Bulk,Low Bulk,Low Bulk,FALSE,,,,,,,,,,,50,,,,,,,,,,,,,,,
2252,MEADOW GREEN MENNONITE CHURCH,"THREE SPRINGS, PA",UPS + USPS,1030,1030,1030,1030,FALSE,Set 30 aside for customer,,,,TRUE,,,,,,1000,,,,,30,,,,,,,,,,,,,,,
2442,MEADOW VIEW MENNONITE CHURCH,"RESACA, GA",DM,834,834,834,834,FALSE,,,,,TRUE,834,,,,,,,,,,,,,,,,,,,,,,,,,
2522,MEIGS MENNONITE CHURCH,"MEIGS, GA",DM + USPS,1053,1053,1053,1053,FALSE,Set 15 aside for customer,Set 15 aside for customer,Set 15 aside for customer,Set 15 aside for customer,TRUE,1038,,,,,,,,,,15,,,,,,,,,,,,,,,
2614,MENNONITE BELIEVERS FELLOWSHIP* Q2,"PAYNESVILLE, MN",USPS,30,30,30,30,FALSE,Low Bulk,Low Bulk,Low Bulk,Low Bulk,FALSE,,,,,,,,,,,30,,,,,,,,,,,,,,,
2053,MERCER BIBLE FELLOWSHIP,"HARRODSBURG, KY",UPS,2200,2200,2200,2200,FALSE,,,,,TRUE,,,,,,2200,,,,,,,,,,,,,,,,,,,,
2779,MILL CREEK MENNONITE CHURCH,"SPRING HOPE, NC",DM + USPS,842,842,842,842,FALSE,Set 200 aside for customer,Set 200 aside for customer,Set 200 aside for customer,Set 200 aside for customer,TRUE,642,,,,,,,,,,200,,,,,,,,,,,,,,,
2332,MILLMONT MENNONITE CHURCH* Q3,"MILLMONT, PA",USPS,100,100,100,100,FALSE,Low Bulk,,,,TRUE,,,,,,,,,,,100,,,,,,,,,,,,,,,
2388,MOBERLY MENNONITE CHURCH* Q1,"CLARK, MO",USPS,90,90,90,90,FALSE,Low Bulk,Low Bulk,Low Bulk,Low Bulk,FALSE,,,,,,,,,,,90,,,,,,,,,,,,,,,
2054,MONTEZUMA AMISH-MENNONITE CHURCH,"MONTEZUMA, GA",UPS + USPS,4500,4500,4500,4500,FALSE,Set 55 aside for customer,,,,TRUE,,,,,,4445,,,,,55,,,,,,,,,,,,,,,
